acupoint_iri,acupoint_label,special_point_iri,special_point,special_point_category_iri,special_point_category
http://www.acupunctureresearch.org/tara/ontology/TARA_7734076,BL 66,http://www.acupunctureresearch.org/tara/ontology/TARA_9857829,Ying-Spring Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_3283628,BL 20,http://www.acupunctureresearch.org/tara/ontology/TARA_0077876,Back-Shu Point of the Spleen,http://www.acupunctureresearch.org/tara/ontology/TARA_3861175,Back-Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_7734076,BL 66,http://www.acupunctureresearch.org/tara/ontology/TARA_9857829,Ying-Spring Point,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_3963382,BL 22,http://www.acupunctureresearch.org/tara/ontology/TARA_4567959,Back-Shu Point of Triple Energizer,http://www.acupunctureresearch.org/tara/ontology/TARA_2614885,Special Point on the Head and Trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_3283628,BL 20,http://www.acupunctureresearch.org/tara/ontology/TARA_0077876,Back-Shu Point of the Spleen,http://www.acupunctureresearch.org/tara/ontology/TARA_2614885,Special Point on the Head and Trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://www.acupunctureresearch.org/tara/ontology/TARA_1160697,Lower He-Sea Point of Triple Energizer,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://www.acupunctureresearch.org/tara/ontology/TARA_1160697,Lower He-Sea Point of Triple Energizer,http://www.acupunctureresearch.org/tara/ontology/TARA_4830205,Lower He-Sea Point
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://www.acupunctureresearch.org/tara/ontology/TARA_1160697,Lower He-Sea Point of Triple Energizer,http://www.acupunctureresearch.org/tara/ontology/TARA_6594221,He-Sea Point
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://www.acupunctureresearch.org/tara/ontology/TARA_1160697,Lower He-Sea Point of Triple Energizer,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_5318530,BL 28,http://www.acupunctureresearch.org/tara/ontology/TARA_6484209,Back-Shu Point of the Bladder,http://www.acupunctureresearch.org/tara/ontology/TARA_3861175,Back-Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_4995021,BL 59,http://www.acupunctureresearch.org/tara/ontology/TARA_2041266,Xi-Cleft Point of the Yang Heel Vessel,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_5797983,BL 15,http://www.acupunctureresearch.org/tara/ontology/TARA_3566953,Back-Shu Point of the Heart,http://www.acupunctureresearch.org/tara/ontology/TARA_2614885,Special Point on the Head and Trunk
